channel,v1,chisq,v3,v4,v5,v6,v7,nmass,m1,m2,tb,mu,oh2,v14,v15,si,v17,sv,at,ma,q3,tr
64,16,4,57,6,60,2,62,70,88,89,92,34,33,85,10,1,99,78,40,53,58,99
64,80,75,60,88,66,70,17,63,54,49,94,25,31,49,81,36,46,65,4,54,56,94
42,73,3,86,17,57,28,39,93,88,34,62,21,32,51,40,69,42,74,16,4,31,26
39,10,32,59,9,98,85,33,61,78,23,62,87,9,91,73,88,88,80,42,37,58,77
29,41,27,5,47,100,100,95,83,28,76,7,41,55,19,62,76,96,76,48,39,21,29
48,17,92,43,89,54,54,76,10,89,20,53,53,7,32,93,85,67,51,49,29,96,40
7,75,38,100,40,35,73,57,84,36,80,71,57,45,93,79,2,24,17,2,69,22,46
7,62,68,92,24,49,31,44,80,93,55,76,82,88,25,42,55,53,47,35,42,16,11
83,67,67,15,75,73,62,94,28,12,20,54,47,31,52,72,55,39,90,16,11,14,40
2,42,85,30,5,78,91,88,44,95,61,21,85,4,6,94,31,5,30,71,22,91,68
8,23,22,40,83,43,57,13,54,95,69,64,50,26,58,69,23,21,54,11,60,97,32
37,43,25,96,49,8,24,61,13,83,75,38,44,70,81,16,72,64,61,57,43,99,17
29,83,43,32,44,33,62,27,54,29,74,16,46,80,18,70,20,13,77,13,61,94,49
10,82,87,43,56,65,81,83,57,95,76,87,14,89,99,45,35,94,74,10,19,84,39
98,95,10,25,24,93,75,39,88,32,74,73,16,5,56,37,81,9,65,31,82,14,81
37,65,71,95,42,70,43,92,38,28,5,3,57,46,60,98,45,81,74,45,91,90,89
6,45,31,63,86,95,15,46,36,81,80,75,60,29,45,65,20,89,68,98,1,36,10
18,100,84,100,17,54,50,13,38,93,56,94,25,79,26,51,64,81,82,79,80,1,12
1,29,14,81,30,73,50,67,81,59,79,22,55,40,96,42,100,55,98,9,51,21,19
67,93,82,79,94,18,73,1,95,50,33,6,48,51,10,80,79,50,85,95,61,50,24
44,69,25,5,36,55,34,100,47,86,45,73,45,83,24,90,65,87,72,19,52,100,94
49,22,98,43,63,78,44,41,92,83,64,100,29,43,53,47,86,85,45,14,71,1,47
73,3,86,8,78,80,1,90,5,14,35,4,63,97,13,17,12,29,4,53,74,2,23
54,38,38,36,7,88,14,82,6,58,21,21,47,49,67,24,51,26,70,35,44,99,93
24,67,47,95,72,51,56,22,33,64,53,44,1,32,55,13,32,40,9,62,61,51,83
86,42,15,23,13,62,93,8,86,16,81,58,44,78,32,7,15,9,12,95,86,91,94
15,5,7,42,46,64,64,97,24,26,44,71,63,69,84,96,65,31,20,87,83,17,27
13,68,23,38,76,27,37,90,10,75,29,97,26,5,99,85,80,85,98,25,27,10,40
95,88,66,22,59,76,19,63,71,1,75,35,58,79,34,88,29,73,100,56,83,17,7
15,90,73,55,31,46,6,84,68,7,25,93,31,79,39,60,29,61,10,26,70,77,2
47,80,8,50,40,95,60,9,89,71,38,31,87,62,58,59,89,26,92,75,49,88,87
94,36,18,82,65,69,74,23,51,88,14,14,33,13,71,42,23,5,2,99,43,60,71
86,33,68,16,99,97,77,17,29,4,20,15,87,18,15,47,93,96,12,95,92,78,33
16,14,98,73,44,41,25,76,56,27,17,41,6,72,39,21,47,8,94,76,22,42,63
5,59,78,35,11,7,29,82,31,49,65,74,99,23,60,26,33,9,54,54,33,86,65
49,41,35,45,47,87,73,96,95,8,49,73,75,5,8,24,64,10,62,83,48,61,1
21,37,70,88,10,29,17,96,67,98,2,53,38,87,22,33,24,28,19,64,80,62,94
86,19,88,1,91,18,35,94,56,90,95,71,88,86,8,18,82,56,18,61,93,17,100
91,16,94,58,44,45,32,41,5,98,67,87,19,82,55,81,7,3,22,11,50,37,76
97,88,5,54,92,13,78,95,63,94,7,47,68,11,1,57,50,94,64,16,76,98,2
83,92,15,72,27,32,41,14,62,38,38,47,24,81,21,8,60,34,20,97,42,45,84
39,38,68,20,64,90,59,77,9,95,40,58,50,33,49,94,19,95,36,20,52,14,21
41,85,7,77,8,92,15,67,5,72,53,34,16,17,94,73,43,16,55,24,10,61,62
25,64,34,1,19,16,74,65,21,26,16,34,3,15,21,85,59,82,75,28,62,76,5
5,4,52,14,12,92,83,64,42,63,88,90,20,3,82,65,88,44,40,33,90,60,1
77,15,37,19,43,37,33,6,6,100,45,75,10,53,26,10,35,32,15,64,49,48,38
30,24,54,63,97,73,83,69,2,86,28,7,46,83,14,50,56,55,5,75,44,74,70
72,7,23,84,61,42,21,93,47,90,51,32,53,1,7,52,83,91,97,11,35,20,59
30,54,7,47,66,72,85,8,82,86,34,60,6,92,85,10,14,61,4,72,31,72,1
24,69,60,19,21,61,70,4,79,34,56,3,71,1,72,80,21,31,35,65,5,16,44
33,64,38,16,81,39,45,62,41,9,67,47,14,62,44,14,83,4,98,79,62,73,63
66,69,68,96,36,42,17,24,64,43,44,71,41,18,45,11,10,91,77,71,57,52,21
56,81,36,73,33,10,100,6,34,14,69,24,31,35,92,43,84,58,71,65,83,12,23
88,17,23,94,18,90,23,24,58,100,44,6,14,15,64,30,76,54,10,83,83,87,99
5,75,92,21,13,89,73,10,78,12,82,75,81,84,25,43,62,56,74,73,25,95,87
11,54,31,12,34,92,93,88,83,46,9,96,19,44,95,23,16,14,9,33,49,43,72
82,1,46,94,48,92,30,81,19,64,70,2,85,1,70,28,62,91,87,90,28,21,34
38,92,58,75,19,76,19,5,1,72,17,98,56,56,91,23,48,100,94,93,87,79,40
31,54,65,97,80,26,65,20,3,62,29,20,16,84,94,2,94,18,95,86,50,66,94
61,60,84,83,7,75,28,97,12,87,80,35,26,85,24,78,26,94,69,66,40,13,3
30,27,28,78,2,20,29,32,40,9,7,3,90,28,31,68,17,27,45,61,54,75,53
92,12,85,5,19,64,43,36,39,89,82,1,36,97,70,52,26,34,8,31,70,30,83
96,51,5,87,8,32,92,95,70,76,23,15,31,15,27,80,25,19,2,8,4,85,79
49,78,100,89,88,36,88,81,1,12,87,24,1,85,65,25,30,72,30,83,36,99,78
38,61,69,66,11,47,54,22,5,36,36,98,11,96,36,10,67,7,11,50,26,67,50
94,100,5,100,4,79,95,5,59,87,26,70,6,25,66,12,51,7,14,2,23,21,73
58,38,66,34,77,65,56,42,44,64,87,40,82,67,25,52,71,20,32,93,19,88,52
71,5,41,81,49,36,91,65,78,62,88,6,13,88,9,49,14,41,15,69,44,45,53
15,67,63,66,62,7,75,55,54,89,31,57,94,94,72,23,41,74,19,88,42,13,1
8,8,92,20,80,4,80,82,32,81,50,46,30,53,87,56,93,88,42,99,95,99,79
11,42,94,99,39,99,99,22,15,82,21,21,40,13,64,84,80,86,59,17,86,19,95
22,33,89,85,43,26,64,23,83,40,53,59,87,42,58,36,27,69,95,13,12,12,31
89,23,91,88,48,64,94,76,42,95,61,3,11,27,68,92,9,53,55,64,5,22,94
34,39,20,20,86,10,9,12,10,63,74,89,62,18,33,100,34,84,20,26,33,59,80
